,attack
0,4
1,0
2,4
3,4
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,4
12,2
13,0
14,0
15,4
16,1
17,4
18,4
19,0
20,0
21,4
22,4
23,0
24,4
25,0
26,4
27,4
28,4
29,1
30,0
31,4
32,1
33,4
34,4
35,4
36,0
37,4
38,0
39,0
40,0
41,4
42,4
43,4
44,0
45,0
46,4
47,2
48,0
49,4
50,0
51,0
52,4
53,4
54,4
55,1
56,0
57,0
58,4
59,4
60,0
61,1
62,4
63,0
64,4
65,1
66,0
67,0
68,0
69,4
70,0
71,4
72,4
73,0
74,4
75,0
76,4
77,4
78,0
79,4
80,0
81,0
82,1
83,4
84,0
85,4
86,0
87,0
88,4
89,4
90,4
91,4
92,0
93,0
94,4
95,4
96,4
97,4
98,0
99,4
100,4
101,4
102,4
103,0
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,1
115,0
116,4
117,4
118,4
119,0
120,0
121,0
122,4
123,0
124,4
125,4
126,4
127,4
128,4
129,0
130,0
131,4
132,4
133,0
134,0
135,4
136,4
137,0
138,0
139,4
140,0
141,0
142,4
143,4
144,4
145,1
146,4
147,2
148,0
149,0
150,4
151,0
152,0
153,0
154,4
155,4
156,0
157,1
158,0
159,4
160,4
161,4
162,4
163,0
164,1
165,4
166,4
167,4
168,4
169,0
170,4
171,0
172,0
173,0
174,0
175,4
176,1
177,1
178,0
179,4
180,4
181,4
182,4
183,0
184,0
185,0
186,0
187,4
188,4
189,2
190,4
191,0
192,0
193,4
194,4
195,4
196,4
197,1
198,4
199,4
200,0
201,4
202,4
203,4
204,4
205,0
206,4
207,4
208,0
209,1
210,0
211,0
212,4
213,0
214,0
215,4
216,4
217,4
218,4
219,4
220,0
221,2
222,0
223,1
224,4
225,4
226,0
227,4
228,4
229,4
230,4
231,4
232,0
233,4
234,0
235,0
236,0
237,4
238,4
239,4
240,1
241,0
242,0
243,0
244,4
245,0
246,1
247,0
248,4
249,1
250,4
251,4
252,1
253,1
254,0
255,4
256,4
257,1
258,4
259,0
260,4
261,4
262,0
263,4
264,4
265,4
266,4
267,1
268,0
269,4
270,0
